id_ruta,Destino,Llegada
San-Cal,San Martin,Callao
Hua-Cus,Huanuco,Cusco
Cus-Moq,Cusco,Moquegua
Lam-La ,Lambayeque,La Libertad
La -Caj,La Libertad,Cajamarca
Aya-Hua,Ayacucho,Huancavelica
Piu-Tac,Piura,Tacna
Tum-Hua,Tumbes,Huanuco
Anc-Moq,Ancash,Moquegua
La -Uca,La Libertad,Ucayali
Mad-Moq,Madre De Dios,Moquegua
Lam-Ica,Lambayeque,Ica
Pun-Cal,Puno,Callao
Cal-Uca,Callao,Ucayali
Caj-Pun,Cajamarca,Puno
Jun-Are,Junin,Arequipa
Anc-San,Ancash,San Martin
Ica-Hua,Ica,Huancavelica
Lor-Ama,Loreto,Amazonas
Pun-Caj,Puno,Cajamarca
Cus-Anc,Cusco,Ancash
Lam-Are,Lambayeque,Arequipa
Tum-Lam,Tumbes,Lambayeque
Cus-Apu,Cusco,Apurimac
Uca-Anc,Ucayali,Ancash
San-Lim,San Martin,Lima
Jun-Piu,Junin,Piura
Tum-Moq,Tumbes,Moquegua
Pas-Are,Pasco,Arequipa
La -Aya,La Libertad,Ayacucho
Hua-Lor,Huancavelica,Loreto
Apu-Pun,Apurimac,Puno
Tum-Pun,Tumbes,Puno
Ama-Aya,Amazonas,Ayacucho
Tac-Lor,Tacna,Loreto
Ica-Pun,Ica,Puno
Are-Ama,Arequipa,Amazonas
Tac-Jun,Tacna,Junin
Aya-Tum,Ayacucho,Tumbes
La -Apu,La Libertad,Apurimac
Lam-Ama,Lambayeque,Amazonas
San-Jun,San Martin,Junin
Moq-Mad,Moquegua,Madre De Dios
Mad-Cal,Madre De Dios,Callao
Tum-Uca,Tumbes,Ucayali
San-Ama,San Martin,Amazonas
Piu-San,Piura,San Martin
Pun-Mad,Puno,Madre De Dios
Mad-Tac,Madre De Dios,Tacna
Pun-Lam,Puno,Lambayeque
La -Cus,La Libertad,Cusco
Jun-Pas,Junin,Pasco
Cus-Hua,Cusco,Huancavelica
Aya-Jun,Ayacucho,Junin
Cus-Pas,Cusco,Pasco
Lim-Tac,Lima,Tacna
Pas-La ,Pasco,La Libertad
Hua-La ,Huancavelica,La Libertad
Aya-Uca,Ayacucho,Ucayali
Pas-Apu,Pasco,Apurimac
Tum-Mad,Tumbes,Madre De Dios
Aya-Piu,Ayacucho,Piura
Ica-Caj,Ica,Cajamarca
Anc-Cus,Ancash,Cusco
Lor-Cus,Loreto,Cusco
Hua-Uca,Huanuco,Ucayali
Moq-Lor,Moquegua,Loreto
Lam-Anc,Lambayeque,Ancash
Hua-Aya,Huancavelica,Ayacucho
Tum-Are,Tumbes,Arequipa
Lor-Tac,Loreto,Tacna
Cus-Ica,Cusco,Ica
Uca-Cus,Ucayali,Cusco
Anc-Cal,Ancash,Callao
Anc-Lor,Ancash,Loreto
Hua-Lam,Huancavelica,Lambayeque
Pun-Hua,Puno,Huanuco
Ama-Lam,Amazonas,Lambayeque
Ama-Hua,Amazonas,Huanuco
Lim-Pas,Lima,Pasco
Anc-Apu,Ancash,Apurimac
San-Hua,San Martin,Huanuco
Cal-Pun,Callao,Puno
La -Ama,La Libertad,Amazonas
Are-Apu,Arequipa,Apurimac
Tac-Lam,Tacna,Lambayeque
Pun-Lor,Puno,Loreto
Caj-Uca,Cajamarca,Ucayali
Caj-Lor,Cajamarca,Loreto
Lim-Are,Lima,Arequipa
Anc-La ,Ancash,La Libertad
San-Aya,San Martin,Ayacucho
Apu-Uca,Apurimac,Ucayali
Lor-Moq,Loreto,Moquegua
Piu-Moq,Piura,Moquegua
San-Lor,San Martin,Loreto
Anc-Caj,Ancash,Cajamarca
La -Mad,La Libertad,Madre De Dios
Caj-Pas,Cajamarca,Pasco
Pun-Apu,Puno,Apurimac
Cal-Hua,Callao,Huancavelica
Anc-Are,Ancash,Arequipa
Tum-Piu,Tumbes,Piura
Hua-Hua,Huancavelica,Huanuco
Ica-Piu,Ica,Piura
Caj-Aya,Cajamarca,Ayacucho
Jun-Anc,Junin,Ancash
Cal-Lam,Callao,Lambayeque
Apu-Anc,Apurimac,Ancash
Mad-Ica,Madre De Dios,Ica
Are-Pas,Arequipa,Pasco
Tac-Anc,Tacna,Ancash
Lim-Ica,Lima,Ica
Are-Tum,Arequipa,Tumbes
Cal-Lim,Callao,Lima
Moq-Ica,Moquegua,Ica
Hua-Anc,Huanuco,Ancash
Pun-Moq,Puno,Moquegua
Lim-Uca,Lima,Ucayali
San-Cus,San Martin,Cusco
Tum-Caj,Tumbes,Cajamarca
Cus-La ,Cusco,La Libertad
Tum-Pas,Tumbes,Pasco
Lam-Aya,Lambayeque,Ayacucho
Uca-Are,Ucayali,Arequipa
La -Ica,La Libertad,Ica
Aya-Cus,Ayacucho,Cusco
Are-San,Arequipa,San Martin
Ica-Cus,Ica,Cusco
Piu-Jun,Piura,Junin
Hua-Tum,Huancavelica,Tumbes
Ama-Pas,Amazonas,Pasco
La -Hua,La Libertad,Huanuco
Uca-Ica,Ucayali,Ica
Aya-La ,Ayacucho,La Libertad
Lor-Lam,Loreto,Lambayeque
Lam-Mad,Lambayeque,Madre De Dios
Pas-Ama,Pasco,Amazonas
Anc-Ama,Ancash,Amazonas
Hua-Cal,Huanuco,Callao
Cus-Are,Cusco,Arequipa
Lam-Pun,Lambayeque,Puno
Jun-Hua,Junin,Huancavelica
Cal-Apu,Callao,Apurimac
Uca-Mad,Ucayali,Madre De Dios
Ama-Anc,Amazonas,Ancash
Hua-Lim,Huanuco,Lima
Apu-Mad,Apurimac,Madre De Dios
Cal-Jun,Callao,Junin
Ica-Uca,Ica,Ucayali
Uca-Tum,Ucayali,Tumbes
Pas-Uca,Pasco,Ucayali
Are-Hua,Arequipa,Huancavelica
Pas-Moq,Pasco,Moquegua
Pun-San,Puno,San Martin
Lor-La ,Loreto,La Libertad
Tum-La ,Tumbes,La Libertad
Cal-Aya,Callao,Ayacucho
Cal-La ,Callao,La Libertad
Caj-Cus,Cajamarca,Cusco
La -Tum,La Libertad,Tumbes
Cus-Caj,Cusco,Cajamarca
Ama-Ica,Amazonas,Ica
Lam-Tum,Lambayeque,Tumbes
Are-Piu,Arequipa,Piura
Anc-Tum,Ancash,Tumbes
Moq-Tac,Moquegua,Tacna
Aya-Tac,Ayacucho,Tacna
Piu-Caj,Piura,Cajamarca
Piu-Lor,Piura,Loreto
Lim-Apu,Lima,Apurimac
Moq-Aya,Moquegua,Ayacucho
Apu-Pas,Apurimac,Pasco
Lam-Caj,Lambayeque,Cajamarca
Lim-Moq,Lima,Moquegua
Cal-Cus,Callao,Cusco
Mad-Lam,Madre De Dios,Lambayeque
La -Tac,La Libertad,Tacna
Ica-Cal,Ica,Callao
Apu-San,Apurimac,San Martin
Cal-Are,Callao,Arequipa
Cus-Cal,Cusco,Callao
Ica-Lor,Ica,Loreto
Moq-Anc,Moquegua,Ancash
Anc-Ica,Ancash,Ica
Mad-Lor,Madre De Dios,Loreto
San-La ,San Martin,La Libertad
Mad-Anc,Madre De Dios,Ancash
Hua-Caj,Huanuco,Cajamarca
Cus-Uca,Cusco,Ucayali
La -Moq,La Libertad,Moquegua
Lim-Lor,Lima,Loreto
Piu-La ,Piura,La Libertad
Lor-Ica,Loreto,Ica
Ama-Cus,Amazonas,Cusco
Ica-Tum,Ica,Tumbes
Tac-Ica,Tacna,Ica
Cal-Tum,Callao,Tumbes
Piu-Uca,Piura,Ucayali
